City,StationId,StationName,Date,year,month,day_of_week,season,PM2.5,NO2,AQI_Bucket
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-11-25,2017,11,5,Post-Monsoon,81.4,20.5,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-11-26,2017,11,6,Post-Monsoon,78.32,26.0,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-11-27,2017,11,0,Post-Monsoon,88.76,30.85,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-11-28,2017,11,1,Post-Monsoon,64.18,28.07,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-11-29,2017,11,2,Post-Monsoon,72.47,23.2,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-11-30,2017,11,3,Post-Monsoon,69.8,20.17,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-01,2017,12,4,Winter,73.96,19.29,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-02,2017,12,5,Winter,89.9,26.19,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-03,2017,12,6,Winter,87.14,21.31,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-04,2017,12,0,Winter,84.64,26.98,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-05,2017,12,1,Winter,88.36,20.23,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-06,2017,12,2,Winter,96.83,25.65,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-07,2017,12,3,Winter,117.46,41.1,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-08,2017,12,4,Winter,122.88,54.87,Very Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-09,2017,12,5,Winter,74.28,44.97,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-10,2017,12,6,Winter,50.32,33.85,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-11,2017,12,0,Winter,58.47,41.64,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-12,2017,12,1,Winter,89.35,42.1,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-13,2017,12,2,Winter,64.42,34.78,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-14,2017,12,3,Winter,69.4,29.97,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-15,2017,12,4,Winter,71.07,25.0,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-16,2017,12,5,Winter,79.76,40.92,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-17,2017,12,6,Winter,108.06,47.05,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-18,2017,12,0,Winter,100.75,53.94,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-19,2017,12,1,Winter,106.25,43.09,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-20,2017,12,2,Winter,83.79,47.47,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-21,2017,12,3,Winter,79.98,49.55,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-22,2017,12,4,Winter,76.27,56.0,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-23,2017,12,5,Winter,86.5,42.0,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-24,2017,12,6,Winter,100.62,47.68,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-25,2017,12,0,Winter,110.73,31.06,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-26,2017,12,1,Winter,107.7,43.54,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-27,2017,12,2,Winter,104.81,63.48,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-28,2017,12,3,Winter,89.95,64.53,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-29,2017,12,4,Winter,74.58,46.65,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-30,2017,12,5,Winter,56.68,33.26,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2017-12-31,2017,12,6,Winter,61.03,39.5,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-01,2018,1,0,Winter,59.03,23.36,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-02,2018,1,1,Winter,61.88,23.14,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-03,2018,1,2,Winter,71.57,39.99,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-04,2018,1,3,Winter,92.44,53.79,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-05,2018,1,4,Winter,92.9,56.39,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-06,2018,1,5,Winter,85.15,61.55,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-07,2018,1,6,Winter,81.47,46.9,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-08,2018,1,0,Winter,81.58,34.93,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-09,2018,1,1,Winter,79.56,37.58,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-10,2018,1,2,Winter,87.43,37.31,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-11,2018,1,3,Winter,87.33,42.52,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-12,2018,1,4,Winter,110.39,52.24,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-13,2018,1,5,Winter,77.51,36.41,Poor
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-14,2018,1,6,Winter,86.96,28.32,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-15,2018,1,0,Winter,76.29,21.35,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-16,2018,1,1,Winter,67.06,20.25,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-17,2018,1,2,Winter,68.34,26.26,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-18,2018,1,3,Winter,66.28,45.13,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-19,2018,1,4,Winter,64.98,45.4,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-20,2018,1,5,Winter,75.46,56.53,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-21,2018,1,6,Winter,81.58,38.15,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-22,2018,1,0,Winter,78.27,45.36,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-23,2018,1,1,Winter,79.01,45.43,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-24,2018,1,2,Winter,77.98,44.96,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-25,2018,1,3,Winter,77.96,59.92,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-26,2018,1,4,Winter,79.04,43.61,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-27,2018,1,5,Winter,77.78,43.84,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-28,2018,1,6,Winter,76.48,33.37,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-29,2018,1,0,Winter,74.2,35.82,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-30,2018,1,1,Winter,78.23,45.76,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-01-31,2018,1,2,Winter,68.53,61.52,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-02-01,2018,2,3,Winter,62.08,62.18,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-02-02,2018,2,4,Winter,50.64,45.52,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-02-03,2018,2,5,Winter,44.21,34.37,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-02-04,2018,2,6,Winter,50.71,35.16,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-02-05,2018,2,0,Winter,42.27,30.69,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-02-06,2018,2,1,Winter,39.41,28.53,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-02-07,2018,2,2,Winter,50.56,37.27,Satisfactory
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-02-08,2018,2,3,Winter,50.54,26.96,Moderate
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-02-09,2018,2,4,Winter,26.22,20.1,Satisfactory
Amaravati,AP001,"Secretariat, Amaravati - APPCB",2018-02-10,2018,2,5,Winter,31.83,16.83,Satisfactory
